,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
2417,MASTER,AharkFKS3YWwLtRqTygRV6KJ4Zu59DP5iEhDgwA072Hk_A,Purplera1n,543,242,203,False,False,False,False
2418,MASTER,MUfURBOPmlyPnSTeJoXkKV4xxx4lgLn0DkjV653e6qzuog,deadliest,565,47,11,False,False,False,False
2419,MASTER,vVaXHuMt-bE5qWtckuVsb-fGYQfij7okBRZsHurxerE5TQ,u6w6u,478,499,472,False,False,False,False
2420,MASTER,Yl6h2Zda0qxWMPIIfH7N63PxX2CzSPjsKGjTgVrVziF4,f keys,451,549,521,True,False,False,False
2421,MASTER,zgzIT7ENFRtD5uf7_cayWtk4wGkv1Yh9u7RCWPYdpBIcleo,wolfgang grimmer,607,378,335,False,False,True,False
2422,MASTER,IKkC-VjHtID_CqWHgqDWG7jdMU_bsQbnM6IRg4j9OdxrQd4,Barcellux,381,273,206,False,False,False,False
2423,MASTER,T5A62C0KWPwkao4O2H3gxwZ6TQYmIMnSeuipk9UFRG3cibc,IllIllllIllIllIl,339,266,190,False,False,False,False
2424,MASTER,ol-oQX1Hq5o9Q_8JlazkEb9YbTvOXM9V0VUvwYg-h5Kj0Q,FIX1,522,361,333,False,False,False,False
2425,MASTER,4Hg7XfP_aVOFkl-1W1z9eQyB2ceHFwGrfWiArcc6fy2pGHY,scary,331,298,278,False,False,False,False
2426,MASTER,acLAMjNY1FS89B36HB-KgLmVF46Cmtn2iFBUyeuDJ6cF,a Seithr,610,522,479,False,False,True,False
2427,MASTER,cLt-O5JJpV5PltxOa43xWyFR0L3kpZB4C9MSfGsSLUz42Cc,B4nny,416,688,665,False,False,False,True
2428,MASTER,rYexu6RGF0MsNS-T4vsaWY1v5CaO9qIWLKG2YMKDtnSABw,maplestory275lv,403,326,313,True,False,False,True
2429,MASTER,mNnnABVAlli-Ddao4TrKCWpZux-8WF4YHssv23C0hJqX,DENYS CAMPOS,548,47,11,False,False,False,False
